reference,category,type,subject,date,notifying_country,classification,risk_decision
"2020.5601","nuts, nut products and seeds","food","Ethylenoxid in Sesam from india","07-12-2020 16:45:53","Austria","alert notification","serious"
"2020.5600","other food product / mixed","food","Geleia de Borojo with sorbic acid =1207 ± 117 mg/kg","07-12-2020 16:40:26","Portugal","information notification for follow-up","undecided"
"2020.5599","cereals and bakery products","food","Unauthorised substance ethylene oxide in various sesame seed-based industrial bakery products","07-12-2020 16:30:34","Italy","alert notification","serious"
"2020.5598","non-alcoholic beverages","food","sulphite unauthorised in mango drink from Bangladesh","07-12-2020 16:29:07","Portugal","border rejection notification","serious"
"2020.5597","food contact materials","food contact material","Too much melamine migrates from melamine plate.","07-12-2020 15:59:47","Finland","border rejection notification","serious"
"2020.5596","food contact materials","food contact material","Too much melamine migrates from melamine mug.","07-12-2020 15:52:26","Finland","border rejection notification","serious"
"2020.5595","meat and meat products (other than poultry)","food","Salmonella enterica ssp. Enterica Rissen in Chorizo sausage from Spain","07-12-2020 15:33:36","Switzerland","alert notification","serious"
"2020.5589","nuts, nut products and seeds","food"," Presence of ethylene oxide in organic sesame seeds","07-12-2020 14:52:17","Italy","alert notification","serious"
"2020.5588","fruits and vegetables","food","Fichi secchi","07-12-2020 14:21:38","Italy","border rejection notification","serious"
"2020.5587","poultry meat and poultry meat products","food","Monophasic Salmonella Typhimurium 4,5,12, i;- in fresh turkey meat from France","07-12-2020 14:02:38","France","information notification for attention","serious"
"2020.5585","nuts, nut products and seeds","food","presence of ethylene oxide sesame seeds","07-12-2020 12:46:38","Italy","alert notification","serious"
"2020.5584","alcoholic beverages","food","Risk of breakage of bottled carbonated alcoholic beverages from Germany","07-12-2020 12:28:57","Finland","information notification for follow-up","undecided"
"2020.5583","cereals and bakery products","food","Fumonisins in organic corn waffles from Slovakia","07-12-2020 12:06:58","Germany","alert notification","serious"
"2020.5582","meat and meat products (other than poultry)","food","presenza salmonella in macinato di bovino adulto- Salmonella in minced beef","07-12-2020 11:03:05","Italy","alert notification","serious"
"2020.5580","poultry meat and poultry meat products","food","salmonella in Young Feed Goose Breast ","07-12-2020 09:56:24","Sweden","information notification for follow-up","not serious"
"2020.5578","cereals and bakery products","food","Ethylene oxyde in bread made with sesame seeds","07-12-2020 09:13:02","Luxembourg","alert notification","serious"
"2020.5575","fruits and vegetables","food","Fresh peppers","06-12-2020 13:19:48","Bulgaria","border rejection notification","undecided"
"2020.5573","cereals and bakery products","food"," \"wheat\" not mentioned on the label of cereal products","04-12-2020 17:51:49","Belgium","alert notification","serious"
"2020.5571","dietetic foods, food supplements and fortified foods","food","Bulbine natalensis in food supplements","04-12-2020 16:45:10","Sweden","information notification for attention","undecided"
"2020.5570","nuts, nut products and seeds","food","Ethylene oxide (2,1 mg/kg) in sesame seeds toasted in Poland with raw material from India","04-12-2020 16:44:41","Poland","alert notification","serious"
"2020.5569","nuts, nut products and seeds","food","Salmonella in flaxseed","04-12-2020 16:36:57","Sweden","alert notification","serious"
"2020.5568","herbs and spices","food","Pyrrolizidinalkaloide in Kreuzkümmel aus der Türkei /// Pyrrolizidine alkaloids in cumin from Turkey","04-12-2020 16:30:22","Germany","information notification for follow-up","undecided"
"2020.4899","dietetic foods, food supplements and fortified foods","food","Non-authorised substance huperzine A and labelling deficiencies in food supplements from Sweden","04-12-2020 15:47:18","Germany","information notification for follow-up","undecided"
"2020.5567","fruits and vegetables","food","Unathorised substance - chlorpiryphos-methyl in sweet pepper from Turkey","04-12-2020 15:39:17","Hungary","border rejection notification","undecided"
"2020.5566","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in black sesame seeds from India","04-12-2020 14:54:55","Greece","alert notification","serious"
"2020.5565","nuts, nut products and seeds","food","unauthorised substance ethylene oxide in hulled sesame seeds from India ","04-12-2020 14:46:40","Greece","alert notification","serious"
"2020.5564","milk and milk products","food","Residues of disinfectant in milk products","04-12-2020 14:21:41","France","alert notification","serious"
"2020.5562","cocoa and cocoa preparations, coffee and tea","food","presencia de clorpyrifos en café verde en grano origen Camerún","04-12-2020 13:38:39","Spain","border rejection notification","serious"
"2020.5560","nuts, nut products and seeds","food","Fremdkörper (Glassstück) in Brotaufstrich aus den Niederlanden /// Foreign body (piece of glass) in spread from the Netherlands","04-12-2020 13:28:22","Germany","alert notification","serious"
"2020.5559","nuts, nut products and seeds","food","Ethylen oxide i sesamfrön","04-12-2020 12:37:57","Sweden","alert notification","serious"
"2020.5558","fruits and vegetables","food","LEMONS","04-12-2020 12:37:03","Bulgaria","border rejection notification","undecided"
"2020.5557","cereals and bakery products","food","Nicht deklariertes Allergen Lupine in Bio-Roggenvollkornbrötchen /// Undeclared allergen Lupine in organic wholemeal rye rolls","04-12-2020 12:31:32","Germany","alert notification","serious"
"2020.5554","fish and products thereof ","food","Poor temperature control ( -8.6,  -9.9) for frozen salmon","04-12-2020 11:40:04","United Kingdom","border rejection notification","not serious"
"2020.5552","fats and oils","food","presenza di ossido di etilene in olio di semi di sesamo- ethylene oxide in sesame oil ","04-12-2020 10:35:02","Italy","alert notification","serious"
"2020.5551","feed materials","feed","Ambrosia in white millet","04-12-2020 10:08:13","Belgium","alert notification","serious"
"2020.5550","feed materials","feed","Salmonella in soybean meal","04-12-2020 10:05:41","Austria","information notification for follow-up","not serious"
"2020.5549","fruits and vegetables","food","Methiocarb in roter Spitzpaprika aus Marokko /// Methiocarb in red peppers from Morocco","04-12-2020 09:57:59","Germany","information notification for attention","serious"
"2020.5548","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","04-12-2020 09:41:59","Netherlands","alert notification","serious"
"2020.5547","nuts, nut products and seeds","food","Aflatoxins in Argentine peanuts","04-12-2020 09:32:26","Netherlands","border rejection notification","serious"
"2020.5546","fruits and vegetables","food","Fresh pepper","04-12-2020 07:47:26","Bulgaria","border rejection notification","serious"
"2020.5545","feed materials","feed","Salmonella in rapeseed meal from Germany","03-12-2020 19:32:01","Finland","information notification for follow-up","not serious"
"2020.5544","eggs and egg products","food","Salmonella in liquid pasteurized egg yolk","03-12-2020 18:42:55","Belgium","alert notification","serious"
"2020.5543","crustaceans and products thereof","food","Superación límite de sulfitos","03-12-2020 18:24:11","Spain","information notification for attention","serious"
"2020.5540","nuts, nut products and seeds","food","ethylene oxide in sesame seeds from India and bakery mix from unknown origin","03-12-2020 17:14:41","Poland","alert notification","serious"
"2020.5539","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","03-12-2020 16:57:23","Netherlands","alert notification","serious"
"2020.5538","fruits and vegetables","food","Unauthorised substance chlorpyriphos-methyl in mandarin from Turkey","03-12-2020 16:52:18","Hungary","alert notification","undecided"
"2020.4071","poultry meat and poultry meat products","food","insufficient allergen information provided for chicken wraps from the Netherlands","03-12-2020 16:40:39","Sweden","information notification for follow-up","undecided"
"2020.5536","feed materials","feed","presence of ruminant DNA in poultry meal from Italy","03-12-2020 16:33:30","Italy","information notification for follow-up","not serious"
"2020.5535","nuts, nut products and seeds","food","Ethylene oxide in organic sesame seeds from India","03-12-2020 16:18:39","Denmark","alert notification","serious"
"2020.5534","cereals and bakery products","food","UNAUTHORISED SUBSTANCE ETHYLENE OXIDE IN BURGER BREAD WITH BLACK SESAME SEEDS FROM INDIA, PRODUCED IN SPAIN","03-12-2020 16:08:31","Spain","alert notification","serious"
"2020.5532","nuts, nut products and seeds","food","ethylene oxide in sesame seeds","03-12-2020 15:53:04","Netherlands","alert notification","serious"
"2020.5531","cephalopods and products thereof","food","Unauthorised operator for frozen squid tubes (Dosidicus gigas) from China","03-12-2020 15:50:25","Spain","border rejection notification","not serious"
"2020.5530","fruits and vegetables","food","Pesticide residue in lemon from Turkey","03-12-2020 15:47:34","Croatia","border rejection notification","undecided"
"2020.5529","nuts, nut products and seeds","food","unauthorised substance ethylene oxide (0.39 mg/kg - ppm) in organic unhulled sesame seeds from India","03-12-2020 15:42:54","Netherlands","alert notification","serious"
"2020.5528","compound feeds","feed","Arsenic in a feed for poultry from the Netherlands","03-12-2020 15:40:25","Belgium","information notification for follow-up","undecided"
"2020.5527","confectionery","food","too high content of trans fatty acids in candies from Poland","03-12-2020 15:40:04","Lithuania","information notification for follow-up","not serious"
"2020.5526","nuts, nut products and seeds","food","ethylene oxide in organic amaranth and organic ground amaranth","03-12-2020 15:31:32","Netherlands","alert notification","serious"
"2020.5525","nuts, nut products and seeds","food","Aflatoxin B1 (24,77 ± 6,19 µg/kg; 29,61 ±7,40 µg/kg) and sum of aflatoxin  (42,3± 10,58 µg/kg;32,56 ±8,14 µg/kg ) - Hazelnut Kernels origin Georgia","03-12-2020 15:11:40","Poland","border rejection notification","serious"
